P(MPa),Z,Bg(m3/stm3),μg(mPa.s),ρg(kg/m3),Bw(m3/stm3),μw(mPa.s),ρw(kg/m3)
0.101325,0.99941,1.42929,0.0155385,0.504725,1.06,0.243006,1003.29
0.480818,0.997234,0.300545,0.0155532,2.4003,1.06,0.243006,1003.37
0.860312,0.995112,0.167614,0.0155743,4.30394,1.06,0.243006,1003.46
1.23981,0.993045,0.116067,0.0155997,6.21536,1.06,0.243006,1003.54
1.6193,0.991034,0.0886859,0.0156287,8.1343,1.06,0.243006,1003.63
1.99879,0.989081,0.0717063,0.0156608,10.0605,1.06,0.243006,1003.71
2.37829,0.987186,0.060149,0.0156956,11.9935,1.06,0.243006,1003.79
2.75778,0.985351,0.0517755,0.015733,13.9332,1.06,0.243006,1003.87
3.13727,0.983575,0.0454306,0.0157728,15.8791,1.06,0.243006,1003.95
3.51677,0.981862,0.0404576,0.0158148,17.831,1.06,0.243006,1004.03
3.89626,0.98021,0.0364556,0.015859,19.7884,1.06,0.243006,1004.11
4.27575,0.978622,0.0331662,0.0159052,21.751,1.06,0.243006,1004.19
4.65525,0.977097,0.030415,0.0159533,23.7185,1.06,0.243006,1004.27
5.03474,0.975637,0.0280805,0.0160034,25.6904,1.06,0.243006,1004.35
5.41423,0.974243,0.0260749,0.0160553,27.6663,1.06,0.243006,1004.43
5.79373,0.972915,0.0243338,0.016109,29.6459,1.06,0.243006,1004.51
6.17322,0.971654,0.0228083,0.0161644,31.6287,1.06,0.243006,1004.59
6.55271,0.97046,0.021461,0.0162215,33.6144,1.06,0.243006,1004.66
6.93221,0.969335,0.0202626,0.0162802,35.6024,1.06,0.243006,1004.74
7.3117,0.968278,0.01919,0.0163406,37.5924,1.06,0.243006,1004.83
7.69119,0.967291,0.0182245,0.0164025,39.5839,1.06,0.243006,1004.91
8.07069,0.966373,0.0173511,0.016466,41.5765,1.06,0.243006,1004.99
8.45018,0.965525,0.0165573,0.016531,43.5697,1.06,0.243006,1005.08
8.82967,0.964748,0.015833,0.0165974,45.563,1.06,0.243006,1005.16
9.20917,0.964041,0.0151694,0.0166653,47.5562,1.06,0.243006,1005.25
9.58866,0.963404,0.0145594,0.0167346,49.5486,1.06,0.243006,1005.33
9.96815,0.962839,0.0139969,0.0168053,51.5398,1.06,0.243006,1005.42
10.3476,0.962345,0.0134767,0.0168773,53.5294,1.06,0.243006,1005.51
10.7271,0.961922,0.0129942,0.0169507,55.517,1.06,0.243006,1005.59
11.1066,0.96157,0.0125456,0.0170253,57.502,1.06,0.243006,1005.68
11.4861,0.961289,0.0121276,0.0171012,59.4841,1.06,0.243006,1005.77
11.8656,0.96108,0.0117371,0.0171783,61.4629,1.06,0.243006,1005.86
12.2451,0.96094,0.0113717,0.0172567,63.4378,1.06,0.243006,1005.95
12.6246,0.960872,0.0110291,0.0173362,65.4085,1.06,0.243006,1006.04
13.0041,0.960874,0.0107073,0.0174168,67.3745,1.06,0.243006,1006.12
13.3836,0.960945,0.0104044,0.0174986,69.3355,1.06,0.243006,1006.21
13.7631,0.961087,0.010119,0.0175815,71.2911,1.06,0.243006,1006.31
14.1426,0.961297,0.00984968,0.0176654,73.2408,1.06,0.243006,1006.4
14.5221,0.961576,0.00959507,0.0177503,75.1842,1.06,0.243006,1006.49
14.9016,0.961923,0.00935409,0.0178363,77.1211,1.06,0.243006,1006.58
15.2811,0.962338,0.00912572,0.0179232,79.051,1.06,0.243006,1006.67
15.6606,0.96282,0.00890904,0.0180111,80.9736,1.06,0.243006,1006.76
16.04,0.963369,0.00870322,0.0180999,82.8886,1.06,0.243006,1006.86
16.4195,0.963983,0.00850749,0.0181896,84.7956,1.06,0.243006,1006.95
16.799,0.964662,0.00832116,0.0182802,86.6944,1.06,0.243006,1007.04
17.1785,0.965405,0.00814361,0.0183716,88.5846,1.06,0.243006,1007.14
17.558,0.966212,0.00797425,0.0184638,90.4659,1.06,0.243006,1007.23
17.9375,0.967082,0.00781257,0.0185568,92.3381,1.06,0.243006,1007.33
18.317,0.968013,0.00765808,0.0186506,94.2009,1.06,0.243006,1007.42
18.6965,0.969006,0.00751033,0.0187451,96.054,1.06,0.243006,1007.52
19.076,0.970059,0.00736892,0.0188403,97.8973,1.06,0.243006,1007.61
19.4555,0.971172,0.00723347,0.0189361,99.7305,1.06,0.243006,1007.71
19.835,0.972342,0.00710363,0.0190327,101.553,1.06,0.243006,1007.81
20.2145,0.973571,0.00697908,0.0191298,103.366,1.06,0.243006,1007.91
20.594,0.974856,0.00685951,0.0192276,105.167,1.06,0.243006,1008
20.9735,0.976197,0.00674466,0.0193259,106.958,1.06,0.243006,1008.1
21.353,0.977592,0.00663426,0.0194248,108.738,1.06,0.243006,1008.2
21.7324,0.979041,0.00652808,0.0195242,110.507,1.06,0.243006,1008.3
22.1119,0.980544,0.00642589,0.0196241,112.264,1.06,0.243006,1008.4
22.4914,0.982098,0.00632748,0.0197245,114.01,1.06,0.243006,1008.49
22.8709,0.983703,0.00623266,0.0198254,115.745,1.06,0.243006,1008.59
23.2504,0.985358,0.00614125,0.0199267,117.468,1.06,0.243006,1008.69
23.6299,0.987063,0.00605307,0.0200285,119.179,1.06,0.243006,1008.79
24.0094,0.988815,0.00596797,0.0201306,120.878,1.06,0.243006,1008.89
24.3889,0.990615,0.0058858,0.0202331,122.566,1.06,0.243006,1008.99
24.7684,0.992461,0.00580642,0.020336,124.241,1.06,0.243006,1009.09
25.1479,0.994352,0.0057297,0.0204392,125.905,1.06,0.243006,1009.2
25.5274,0.996288,0.00565551,0.0205427,127.557,1.06,0.243006,1009.3
25.9069,0.998267,0.00558373,0.0206465,129.196,1.06,0.243006,1009.4
26.2864,1.00029,0.00551427,0.0207507,130.824,1.06,0.243006,1009.5
26.6659,1.00235,0.005447,0.020855,132.439,1.06,0.243006,1009.6
27.0454,1.00446,0.00538185,0.0209597,134.043,1.06,0.243006,1009.71
27.4248,1.0066,0.0053187,0.0210645,135.634,1.06,0.243006,1009.81
27.8043,1.00878,0.00525749,0.0211696,137.213,1.06,0.243006,1009.91
28.1838,1.011,0.00519812,0.0212749,138.781,1.06,0.243006,1010.02
28.5633,1.01326,0.00514052,0.0213803,140.336,1.06,0.243006,1010.12
28.9428,1.01556,0.00508461,0.0214859,141.879,1.06,0.243006,1010.23
29.3223,1.01789,0.00503032,0.0215917,143.41,1.06,0.243006,1010.33
29.7018,1.02026,0.00497759,0.0216976,144.929,1.06,0.243006,1010.44
30.0813,1.02266,0.00492636,0.0218037,146.436,1.06,0.243006,1010.55
30.4608,1.02509,0.00487656,0.0219098,147.932,1.06,0.243006,1010.65
30.8403,1.02756,0.00482814,0.0220161,149.415,1.06,0.243006,1010.76
31.2198,1.03005,0.00478105,0.0221224,150.887,1.06,0.243006,1010.87
31.5993,1.03258,0.00473523,0.0222288,152.347,1.06,0.243006,1010.97
31.9788,1.03514,0.00469063,0.0223353,153.795,1.06,0.243006,1011.08
32.3583,1.03773,0.00464722,0.0224419,155.232,1.06,0.243006,1011.19
32.7378,1.04035,0.00460494,0.0225484,156.657,1.06,0.243006,1011.3
33.1172,1.043,0.00456375,0.022655,158.071,1.06,0.243006,1011.41
33.4967,1.04567,0.00452362,0.0227617,159.474,1.06,0.243006,1011.52
33.8762,1.04837,0.0044845,0.0228683,160.865,1.06,0.243006,1011.62
34.2557,1.0511,0.00444636,0.0229749,162.245,1.06,0.243006,1011.73
34.6352,1.05386,0.00440916,0.0230816,163.613,1.06,0.243006,1011.84
35.0147,1.05663,0.00437288,0.0231882,164.971,1.06,0.243006,1011.96
35.3942,1.05944,0.00433747,0.0232948,166.318,1.06,0.243006,1012.07
35.7737,1.06227,0.00430291,0.0234013,167.653,1.06,0.243006,1012.18
36.1532,1.06512,0.00426918,0.0235078,168.978,1.06,0.243006,1012.29
36.5327,1.06799,0.00423623,0.0236143,170.292,1.06,0.243006,1012.4
36.9122,1.07089,0.00420405,0.0237207,171.596,1.06,0.243006,1012.51
37.2917,1.07381,0.00417261,0.023827,172.889,1.06,0.243006,1012.63
37.6712,1.07675,0.00414188,0.0239333,174.171,1.06,0.243006,1012.74
38.0507,1.07971,0.00411185,0.0240394,175.444,1.06,0.243006,1012.85
38.4302,1.08269,0.00408249,0.0241455,176.705,1.06,0.243006,1012.97
38.8096,1.08569,0.00405378,0.0242515,177.957,1.06,0.243006,1013.08
39.1891,1.08871,0.00402569,0.0243574,179.198,1.06,0.243006,1013.2
39.5686,1.09175,0.00399821,0.0244632,180.43,1.06,0.243006,1013.31
39.9481,1.09481,0.00397133,0.0245689,181.652,1.06,0.243006,1013.43
40.3276,1.09789,0.00394501,0.0246745,182.863,1.06,0.243006,1013.54
40.7071,1.10098,0.00391925,0.0247799,184.065,1.06,0.243006,1013.66
41.0866,1.10409,0.00389402,0.0248852,185.258,1.06,0.243006,1013.77
41.4661,1.10722,0.00386932,0.0249904,186.441,1.06,0.243006,1013.89
41.8456,1.11037,0.00384512,0.0250955,187.614,1.06,0.243006,1014.01
42.2251,1.11353,0.00382141,0.0252004,188.778,1.06,0.243006,1014.12
42.6046,1.1167,0.00379818,0.0253052,189.933,1.06,0.243006,1014.24
42.9841,1.1199,0.0037754,0.0254098,191.078,1.06,0.243006,1014.36
43.3636,1.1231,0.00375308,0.0255143,192.215,1.06,0.243006,1014.48
43.7431,1.12633,0.0037312,0.0256186,193.342,1.06,0.243006,1014.6
44.1226,1.12956,0.00370973,0.0257228,194.461,1.06,0.243006,1014.72
44.502,1.13281,0.00368868,0.0258268,195.571,1.06,0.243006,1014.84
44.8815,1.13608,0.00366803,0.0259306,196.672,1.06,0.243006,1014.96
45.261,1.13935,0.00364777,0.0260342,197.764,1.06,0.243006,1015.08
45.6405,1.14264,0.00362788,0.0261377,198.848,1.06,0.243006,1015.2
46.02,1.14595,0.00360837,0.026241,199.924,1.06,0.243006,1015.32
46.3995,1.14926,0.00358921,0.0263442,200.991,1.06,0.243006,1015.44
46.779,1.15259,0.0035704,0.0264471,202.049,1.06,0.243006,1015.56
47.1585,1.15593,0.00355193,0.0265499,203.1,1.06,0.243006,1015.68
47.538,1.15928,0.00353379,0.0266525,204.143,1.06,0.243006,1015.8
47.9175,1.16264,0.00351598,0.0267549,205.177,1.06,0.243006,1015.93
48.297,1.16602,0.00349847,0.0268571,206.204,1.06,0.243006,1016.05
48.6765,1.1694,0.00348127,0.0269591,207.222,1.06,0.243006,1016.17
49.056,1.1728,0.00346437,0.0270609,208.233,1.06,0.243006,1016.3
49.4355,1.1762,0.00344776,0.0271625,209.237,1.06,0.243006,1016.42
49.815,1.17962,0.00343143,0.027264,210.232,1.06,0.243006,1016.55
50.1945,1.18305,0.00341538,0.0273652,211.22,1.06,0.243006,1016.67
50.5739,1.18648,0.00339959,0.0274662,212.201,1.06,0.243006,1016.8
50.9534,1.18993,0.00338407,0.027567,213.175,1.06,0.243006,1016.92
51.3329,1.19338,0.0033688,0.0276676,214.141,1.06,0.243006,1017.05
51.7124,1.19684,0.00335378,0.0277681,215.1,1.06,0.243006,1017.17
52.0919,1.20031,0.00333901,0.0278683,216.051,1.06,0.243006,1017.3
52.4714,1.20379,0.00332447,0.0279683,216.996,1.06,0.243006,1017.43
52.8509,1.20728,0.00331017,0.0280681,217.934,1.06,0.243006,1017.55
53.2304,1.21078,0.00329609,0.0281676,218.865,1.06,0.243006,1017.68
53.6099,1.21429,0.00328223,0.028267,219.789,1.06,0.243006,1017.81
53.9894,1.2178,0.00326859,0.0283662,220.706,1.06,0.243006,1017.94
54.3689,1.22132,0.00325516,0.0284651,221.617,1.06,0.243006,1018.06
54.7484,1.22485,0.00324193,0.0285638,222.521,1.06,0.243006,1018.19
55.1279,1.22838,0.00322891,0.0286624,223.419,1.06,0.243006,1018.32
55.5074,1.23192,0.00321608,0.0287607,224.31,1.06,0.243006,1018.45
55.8869,1.23547,0.00320344,0.0288587,225.194,1.06,0.243006,1018.58
56.2663,1.23903,0.003191,0.0289566,226.073,1.06,0.243006,1018.71
56.6458,1.24259,0.00317873,0.0290543,226.945,1.06,0.243006,1018.84
57.0253,1.24616,0.00316665,0.0291517,227.811,1.06,0.243006,1018.97
57.4048,1.24974,0.00315474,0.0292489,228.671,1.06,0.243006,1019.11
57.7843,1.25332,0.00314301,0.0293459,229.525,1.06,0.243006,1019.24
58.1638,1.25691,0.00313144,0.0294427,230.373,1.06,0.243006,1019.37
58.5433,1.2605,0.00312004,0.0295393,231.214,1.06,0.243006,1019.5
58.9228,1.2641,0.0031088,0.0296357,232.051,1.06,0.243006,1019.63
59.3023,1.26771,0.00309771,0.0297318,232.881,1.06,0.243006,1019.77
59.6818,1.27132,0.00308678,0.0298277,233.705,1.06,0.243006,1019.9
60.0613,1.27494,0.003076,0.0299234,234.524,1.06,0.243006,1020.03
60.4408,1.27856,0.00306537,0.0300189,235.338,1.06,0.243006,1020.17
60.8203,1.28218,0.00305489,0.0301142,236.145,1.06,0.243006,1020.3
61.1998,1.28582,0.00304455,0.0302092,236.948,1.06,0.243006,1020.44
61.5793,1.28945,0.00303434,0.0303041,237.744,1.06,0.243006,1020.57
61.9587,1.2931,0.00302427,0.0303987,238.536,1.06,0.243006,1020.71
62.3382,1.29674,0.00301434,0.0304931,239.322,1.06,0.243006,1020.84
62.7177,1.30039,0.00300453,0.0305872,240.103,1.06,0.243006,1020.98
63.0972,1.30405,0.00299486,0.0306812,240.879,1.06,0.243006,1021.12
63.4767,1.30771,0.00298531,0.0307749,241.649,1.06,0.243006,1021.25
63.8562,1.31137,0.00297588,0.0308685,242.415,1.06,0.243006,1021.39
64.2357,1.31504,0.00296658,0.0309618,243.175,1.06,0.243006,1021.53
64.6152,1.31871,0.00295739,0.0310549,243.931,1.06,0.243006,1021.66
64.9947,1.32239,0.00294832,0.0311478,244.681,1.06,0.243006,1021.8
65.3742,1.32607,0.00293936,0.0312404,245.427,1.06,0.243006,1021.94
65.7537,1.32975,0.00293051,0.0313329,246.168,1.06,0.243006,1022.08
66.1332,1.33344,0.00292178,0.0314251,246.904,1.06,0.243006,1022.22
66.5127,1.33713,0.00291315,0.0315172,247.635,1.06,0.243006,1022.36
66.8922,1.34083,0.00290463,0.031609,248.362,1.06,0.243006,1022.5
67.2717,1.34452,0.00289621,0.0317006,249.084,1.06,0.243006,1022.64
67.6511,1.34823,0.00288789,0.031792,249.801,1.06,0.243006,1022.78
68.0306,1.35193,0.00287967,0.0318831,250.514,1.06,0.243006,1022.92
68.4101,1.35564,0.00287155,0.0319741,251.223,1.06,0.243006,1023.06
68.7896,1.35935,0.00286352,0.0320649,251.927,1.06,0.243006,1023.2
69.1691,1.36306,0.00285559,0.0321554,252.626,1.06,0.243006,1023.34
69.5486,1.36678,0.00284776,0.0322457,253.321,1.06,0.243006,1023.49
69.9281,1.3705,0.00284001,0.0323359,254.012,1.06,0.243006,1023.63
70.3076,1.37422,0.00283235,0.0324258,254.699,1.06,0.243006,1023.77
70.6871,1.37795,0.00282478,0.0325155,255.382,1.06,0.243006,1023.91
71.0666,1.38167,0.0028173,0.032605,256.06,1.06,0.243006,1024.06
71.4461,1.3854,0.0028099,0.0326943,256.734,1.06,0.243006,1024.2
71.8256,1.38914,0.00280259,0.0327834,257.404,1.06,0.243006,1024.35
72.2051,1.39287,0.00279535,0.0328723,258.07,1.06,0.243006,1024.49
72.5846,1.39661,0.0027882,0.032961,258.732,1.06,0.243006,1024.63
72.9641,1.40035,0.00278113,0.0330495,259.39,1.06,0.243006,1024.78
73.3435,1.40409,0.00277413,0.0331378,260.045,1.06,0.243006,1024.93
73.723,1.40784,0.00276721,0.0332258,260.695,1.06,0.243006,1025.07
74.1025,1.41158,0.00276037,0.0333137,261.341,1.06,0.243006,1025.22
74.482,1.41533,0.0027536,0.0334014,261.984,1.06,0.243006,1025.36
74.8615,1.41908,0.0027469,0.0334889,262.623,1.06,0.243006,1025.51
75.241,1.42284,0.00274027,0.0335761,263.258,1.06,0.243006,1025.66
75.6205,1.42659,0.00273371,0.0336632,263.889,1.06,0.243006,1025.8
76,1.43035,0.00272723,0.0337501,264.517,1.06,0.243006,1025.95
